"","apt_juso..duplicated.apt_juso...."
"938","제주특별자치도 제주시 한림읍 금악리 185-2"
"939","제주특별자치도 제주시 한림읍 금악리 596-4"
"940","제주특별자치도 제주시 한림읍 금악리 33-2"
"941","제주특별자치도 제주시 한림읍 금악리 296-2"
"942","제주특별자치도 제주시 한림읍 금악리 314-1"
"943","제주특별자치도 제주시 한림읍 금악리 2-4"
"944","제주특별자치도 제주시 한림읍 금악리 984-1"
"945","제주특별자치도 제주시 한림읍 금악리 3369"
"946","제주특별자치도 제주시 한림읍 금악리 1972-3"
"947","제주특별자치도 제주시 한림읍 금악리 2189"
"948","제주특별자치도 제주시 한림읍 금악리 2820"
"949","제주특별자치도 제주시 한림읍 금악리 2820-1"
"950","제주특별자치도 제주시 한림읍 금악리 2820-2"
"951","제주특별자치도 제주시 한림읍 금악리 2870"
"952","제주특별자치도 제주시 한림읍 금악리 2871-9"
"953","제주특별자치도 제주시 한림읍 금악리 3452"
"954","제주특별자치도 제주시 한림읍 금악리 2605"
"955","제주특별자치도 제주시 한림읍 금악리 3181"
"956","제주특별자치도 제주시 한림읍 금악리 3183-1"
"957","제주특별자치도 제주시 한림읍 금악리 3055"
"958","제주특별자치도 제주시 한림읍 동명리 178-1"
"959","제주특별자치도 제주시 한림읍 동명리 278-1"
"960","제주특별자치도 제주시 한림읍 동명리 306-2"
"961","제주특별자치도 제주시 한림읍 동명리 690-3"
"962","제주특별자치도 제주시 한림읍 동명리 692"
"963","제주특별자치도 제주시 한림읍 동명리 1574-2"
"964","제주특별자치도 제주시 한림읍 동명리 1954-3"
"965","제주특별자치도 제주시 한림읍 동명리 2240"
"966","제주특별자치도 제주시 한림읍 동명리 293-1"
"967","제주특별자치도 제주시 한림읍 동명리 320-2"
"968","제주특별자치도 제주시 한림읍 동명리 640"
"969","제주특별자치도 제주시 한림읍 동명리 635"
"970","제주특별자치도 제주시 한림읍 동명리 33-1"
"971","제주특별자치도 제주시 한림읍 동명리 596-1"
"972","제주특별자치도 제주시 한림읍 동명리 2185-5"
"973","제주특별자치도 제주시 한림읍 동명리 1381-1"
"974","제주특별자치도 제주시 한림읍 동명리 936-2"
"975","제주특별자치도 제주시 한림읍 동명리 1"
"976","제주특별자치도 제주시 한림읍 동명리 38-1"
"977","제주특별자치도 제주시 한림읍 동명리 464"
"978","제주특별자치도 제주시 한림읍 동명리 578-3"
"979","제주특별자치도 제주시 한림읍 동명리 296"
"980","제주특별자치도 제주시 한림읍 동명리 297"
"981","제주특별자치도 제주시 한림읍 동명리 290-2"
"982","제주특별자치도 제주시 한림읍 동명리 294-1"
"983","제주특별자치도 제주시 한림읍 동명리 294-2"
"984","제주특별자치도 제주시 한림읍 동명리 277"
"985","제주특별자치도 제주시 한림읍 동명리 280-2"
"986","제주특별자치도 제주시 한림읍 동명리 286-1"
"987","제주특별자치도 제주시 한림읍 동명리 319-2"
"988","제주특별자치도 제주시 한림읍 동명리 319-1"
"989","제주특별자치도 제주시 한림읍 동명리 160-1"
"990","제주특별자치도 제주시 한림읍 동명리 1262-1"
"991","제주특별자치도 제주시 한림읍 동명리 369-1"
"992","제주특별자치도 제주시 한림읍 동명리 1036"
"993","제주특별자치도 제주시 한림읍 동명리 969-5"
"994","제주특별자치도 제주시 한림읍 동명리 1000-2"
"995","제주특별자치도 제주시 한림읍 동명리 1168-4"
"996","제주특별자치도 제주시 한림읍 동명리 2199-7"
"997","제주특별자치도 제주시 한림읍 동명리 1446"
"998","제주특별자치도 제주시 한림읍 동명리 662-3"
"999","제주특별자치도 제주시 한림읍 동명리 1381-3"
"1000","제주특별자치도 제주시 한림읍 동명리 1071"
"1001","제주특별자치도 제주시 한림읍 동명리 496-2"
"1002","제주특별자치도 제주시 한림읍 동명리 31"
"1003","제주특별자치도 제주시 한림읍 동명리 911-1"
"1004","제주특별자치도 제주시 한림읍 동명리 211-3"
"1005","제주특별자치도 제주시 한림읍 동명리 210-2"
"1006","제주특별자치도 제주시 한림읍 동명리 1418-1"
"1007","제주특별자치도 제주시 한림읍 동명리 960"
"1008","제주특별자치도 제주시 한림읍 동명리 214-2"
"1009","제주특별자치도 제주시 한림읍 동명리 502"
"1010","제주특별자치도 제주시 한림읍 동명리 510"
"1011","제주특별자치도 제주시 한림읍 동명리 514"
"1012","제주특별자치도 제주시 한림읍 동명리 516"
"1013","제주특별자치도 제주시 한림읍 동명리 1897-3"
"1014","제주특별자치도 제주시 한림읍 동명리 1897-5"
"1015","제주특별자치도 제주시 한림읍 동명리 1909"
"1016","제주특별자치도 제주시 한림읍 동명리 260"
"1017","제주특별자치도 제주시 한림읍 동명리 1387"
"1018","제주특별자치도 제주시 한림읍 동명리 504"
"1019","제주특별자치도 제주시 한림읍 동명리 606"
"1020","제주특별자치도 제주시 한림읍 동명리 347-3"
"1021","제주특별자치도 제주시 한림읍 동명리 349"
"1022","제주특별자치도 제주시 한림읍 동명리 373"
"1023","제주특별자치도 제주시 한림읍 동명리 321-1"
"1024","제주특별자치도 제주시 한림읍 명월리 452-7"
"1025","제주특별자치도 제주시 한림읍 명월리 1624"
"1026","제주특별자치도 제주시 한림읍 명월리 702-1"
"1027","제주특별자치도 제주시 한림읍 명월리 1938-1"
"1028","제주특별자치도 제주시 한림읍 명월리 2041-6"
"1029","제주특별자치도 제주시 한림읍 명월리 69"
"1030","제주특별자치도 제주시 한림읍 명월리 1446-3"
"1031","제주특별자치도 제주시 한림읍 명월리 1622"
"1032","제주특별자치도 제주시 한림읍 명월리 732"
"1033","제주특별자치도 제주시 한림읍 명월리 86"
"1034","제주특별자치도 제주시 한림읍 명월리 2016"
"1035","제주특별자치도 제주시 한림읍 명월리 2014"
"1036","제주특별자치도 제주시 한림읍 명월리 2015"
"1037","제주특별자치도 제주시 한림읍 명월리 1009"
"1038","제주특별자치도 제주시 한림읍 명월리 523"
"1039","제주특별자치도 제주시 한림읍 명월리 560"
"1040","제주특별자치도 제주시 한림읍 명월리 561"
"1041","제주특별자치도 제주시 한림읍 명월리 567"
"1042","제주특별자치도 제주시 한림읍 명월리 569"
"1043","제주특별자치도 제주시 한림읍 명월리 566"
"1044","제주특별자치도 제주시 한림읍 명월리 1696"
"1045","제주특별자치도 제주시 한림읍 명월리 1115"
"1046","제주특별자치도 제주시 한림읍 명월리 1560-1"
"1047","제주특별자치도 제주시 한림읍 명월리 616"
"1048","제주특별자치도 제주시 한림읍 명월리 1520"
"1049","제주특별자치도 제주시 한림읍 명월리 1525"
"1050","제주특별자치도 제주시 한림읍 명월리 60"
"1051","제주특별자치도 제주시 한림읍 명월리 661"
"1052","제주특별자치도 제주시 한림읍 명월리 1349"
"1053","제주특별자치도 제주시 한림읍 명월리 1350"
"1054","제주특별자치도 제주시 한림읍 명월리 1351"
"1055","제주특별자치도 제주시 한림읍 명월리 1487"
"1056","제주특별자치도 제주시 한림읍 명월리 599"
"1057","제주특별자치도 제주시 한림읍 명월리 655"
"1058","제주특별자치도 제주시 한림읍 명월리 697"
"1059","제주특별자치도 제주시 한림읍 명월리 659-2"
"1060","제주특별자치도 제주시 한림읍 명월리 126-5"
"1061","제주특별자치도 제주시 한림읍 명월리 122"
"1062","제주특별자치도 제주시 한림읍 명월리 2147"
"1063","제주특별자치도 제주시 한림읍 명월리 1889-1"
"1064","제주특별자치도 제주시 한림읍 명월리 2017"
"1065","제주특별자치도 제주시 한림읍 명월리 1595"
"1066","제주특별자치도 제주시 한림읍 명월리 737"
"1067","제주특별자치도 제주시 한림읍 명월리 1258-2"
"1068","제주특별자치도 제주시 한림읍 명월리 452-2"
"1069","제주특별자치도 제주시 한림읍 명월리 626-1"
"1070","제주특별자치도 제주시 한림읍 명월리 1045"
"1071","제주특별자치도 제주시 한림읍 명월리 641"
"1072","제주특별자치도 제주시 한림읍 명월리 657-1"
"1073","제주특별자치도 제주시 한림읍 명월리 1283"
"1074","제주특별자치도 제주시 한림읍 명월리 1443"
"1075","제주특별자치도 제주시 한림읍 명월리 657"
"1076","제주특별자치도 제주시 한림읍 명월리 1911"
"1077","제주특별자치도 제주시 한림읍 명월리 2217"
"1078","제주특별자치도 제주시 한림읍 명월리 576"
"1079","제주특별자치도 제주시 한림읍 명월리 1931-2"
"1080","제주특별자치도 제주시 한림읍 명월리 1932-3"
"1081","제주특별자치도 제주시 한림읍 명월리 162"
"1082","제주특별자치도 제주시 한림읍 명월리 107-1"
"1083","제주특별자치도 제주시 한림읍 명월리 106"
"1084","제주특별자치도 제주시 한림읍 명월리 314"
"1085","제주특별자치도 제주시 한림읍 옹포리 655"
"1086","제주특별자치도 제주시 한림읍 옹포리 936-1"
"1087","제주특별자치도 제주시 한림읍 옹포리 101-1"
"1088","제주특별자치도 제주시 한림읍 옹포리 858"
"1089","제주특별자치도 제주시 한림읍 옹포리 970"
"1090","제주특별자치도 제주시 한림읍 옹포리 145"
"1091","제주특별자치도 제주시 한림읍 옹포리 976"
"1092","제주특별자치도 제주시 한림읍 옹포리 256"
"1093","제주특별자치도 제주시 한림읍 옹포리 740"
"1094","제주특별자치도 제주시 한림읍 옹포리 815"
"1095","제주특별자치도 제주시 한림읍 옹포리 969"
"1096","제주특별자치도 제주시 한림읍 옹포리 867"
"1097","제주특별자치도 제주시 한림읍 옹포리 841"
"1098","제주특별자치도 제주시 한림읍 옹포리 809"
"1099","제주특별자치도 제주시 한림읍 옹포리 728"
"1100","제주특별자치도 제주시 한림읍 옹포리 717-1"
"1101","제주특별자치도 제주시 한림읍 옹포리 131"
"1102","제주특별자치도 제주시 한림읍 옹포리 714"
"1103","제주특별자치도 제주시 한림읍 옹포리 754"
"1104","제주특별자치도 제주시 한림읍 옹포리 753"
"1105","제주특별자치도 제주시 한림읍 옹포리 756"
"1106","제주특별자치도 제주시 한림읍 옹포리 729"
"1107","제주특별자치도 제주시 한림읍 옹포리 928"
"1108","제주특별자치도 제주시 한림읍 옹포리 930"
"1109","제주특별자치도 제주시 한림읍 상대리 2578-1"
"1110","제주특별자치도 제주시 한림읍 상대리 2593"
"1111","제주특별자치도 제주시 한림읍 상대리 2760-3"
"1112","제주특별자치도 제주시 한림읍 상대리 2943-1"
"1113","제주특별자치도 제주시 한림읍 상대리 3028-1"
"1114","제주특별자치도 제주시 한림읍 상대리 3276-1"
"1115","제주특별자치도 제주시 한림읍 상대리 3405-1"
"1116","제주특별자치도 제주시 한림읍 상대리 4439-1"
"1117","제주특별자치도 제주시 한림읍 상대리 4535-1"
"1118","제주특별자치도 제주시 한림읍 상대리 4555"
"1119","제주특별자치도 제주시 한림읍 상대리 4437"
"1120","제주특별자치도 제주시 한림읍 상대리 1267-1"
"1121","제주특별자치도 제주시 한림읍 상대리 1267-3"
"1122","제주특별자치도 제주시 한림읍 상대리 4513"
"1123","제주특별자치도 제주시 한림읍 상대리 4515-1"
"1124","제주특별자치도 제주시 한림읍 상대리 1533"
"1125","제주특별자치도 제주시 한림읍 상대리 1528-1"
"1126","제주특별자치도 제주시 한림읍 상대리 1428"
"1127","제주특별자치도 제주시 한림읍 상대리 3337"
"1128","제주특별자치도 제주시 한림읍 상대리 1433"
"1129","제주특별자치도 제주시 한림읍 상대리 3357-1"
"1130","제주특별자치도 제주시 한림읍 상대리 3676"
"1131","제주특별자치도 제주시 한림읍 상대리 3678"
"1132","제주특별자치도 제주시 한림읍 상대리 3622"
"1133","제주특별자치도 제주시 한림읍 상대리 708"
"1134","제주특별자치도 제주시 한림읍 상대리 495"
"1135","제주특별자치도 제주시 한림읍 상대리 562"
"1136","제주특별자치도 제주시 한림읍 상대리 3140"
"1137","제주특별자치도 제주시 한림읍 상대리 3215-1"
"1138","제주특별자치도 제주시 한림읍 상대리 1740"
"1139","제주특별자치도 제주시 한림읍 상대리 1743-1"
"1140","제주특별자치도 제주시 한림읍 상대리 143-23"
"1141","제주특별자치도 제주시 한림읍 상대리 143-25"
"1142","제주특별자치도 제주시 한림읍 상대리 143-27"
"1143","제주특별자치도 제주시 한림읍 상대리 143-34"
"1144","제주특별자치도 제주시 한림읍 상대리 143-4"
"1145","제주특별자치도 제주시 한림읍 상대리 143-24"
"1146","제주특별자치도 제주시 한림읍 상대리 4355"
"1147","제주특별자치도 제주시 한림읍 상대리 4361"
"1148","제주특별자치도 제주시 한림읍 상대리 4354"
"1149","제주특별자치도 제주시 한림읍 상대리 3961"
"1150","제주특별자치도 제주시 한림읍 상대리 3952"
"1151","제주특별자치도 제주시 한림읍 상대리 1232"
"1152","제주특별자치도 제주시 한림읍 상대리 4229-2"
"1153","제주특별자치도 제주시 한림읍 상대리 2274"
"1154","제주특별자치도 제주시 한림읍 상대리 3970"
"1155","제주특별자치도 제주시 한림읍 상대리 3974-1"
"1156","제주특별자치도 제주시 한림읍 상대리 4427"
"1157","제주특별자치도 제주시 한림읍 상대리 4428"
"1158","제주특별자치도 제주시 한림읍 상대리 4415"
"1159","제주특별자치도 제주시 한림읍 상대리 4448"
"1160","제주특별자치도 제주시 한림읍 상대리 4453"
"1161","제주특별자치도 제주시 한림읍 상대리 242-10"
"1162","제주특별자치도 제주시 한림읍 상대리 3045"
"1163","제주특별자치도 제주시 한림읍 상대리 3443"
"1164","제주특별자치도 제주시 한림읍 상대리 1041"
"1165","제주특별자치도 제주시 한림읍 상대리 3513"
"1166","제주특별자치도 제주시 한림읍 상대리 3518"
"1167","제주특별자치도 제주시 한림읍 상대리 4351"
"1168","제주특별자치도 제주시 한림읍 상대리 1800"
"1169","제주특별자치도 제주시 한림읍 상대리 1793-1"
"1170","제주특별자치도 제주시 한림읍 상대리 1059"
"1171","제주특별자치도 제주시 한림읍 상대리 1067"
"1172","제주특별자치도 제주시 한림읍 상대리 1068"
"1173","제주특별자치도 제주시 한림읍 상대리 1070"
"1174","제주특별자치도 제주시 한림읍 상대리 3998"
"1175","제주특별자치도 제주시 한림읍 상대리 3199"
"1176","제주특별자치도 제주시 한림읍 상대리 3909"
"1177","제주특별자치도 제주시 한림읍 상대리 1236"
"1178","제주특별자치도 제주시 한림읍 상대리 1134"
"1179","제주특별자치도 제주시 한림읍 상대리 3695"
"1180","제주특별자치도 제주시 한림읍 상대리 3125-1"
"1181","제주특별자치도 제주시 한림읍 상대리 1888"
"1182","제주특별자치도 제주시 한림읍 상대리 1891"
"1183","제주특별자치도 제주시 한림읍 상대리 1793"
"1184","제주특별자치도 제주시 한림읍 상대리 3701"
"1185","제주특별자치도 제주시 한림읍 상대리 3726-1"
"1186","제주특별자치도 제주시 한림읍 상대리 3725"
"1187","제주특별자치도 제주시 한림읍 상대리 4192"
"1188","제주특별자치도 제주시 한림읍 상대리 1061"
"1189","제주특별자치도 제주시 한림읍 상대리 2898"
"1190","제주특별자치도 제주시 한림읍 상대리 1257"
"1191","제주특별자치도 제주시 한림읍 상대리 1722"
"1192","제주특별자치도 제주시 한림읍 상대리 1728"
"1193","제주특별자치도 제주시 한림읍 상대리 1726"
"1194","제주특별자치도 제주시 한림읍 상대리 1721"
"1195","제주특별자치도 제주시 한림읍 상대리 2525"
"1196","제주특별자치도 제주시 한림읍 상대리 1827-1"
"1197","제주특별자치도 제주시 한림읍 상대리 1827"
"1198","제주특별자치도 제주시 한림읍 상대리 3770"
"1199","제주특별자치도 제주시 한림읍 상대리 1738"
"1200","제주특별자치도 제주시 한림읍 상대리 3748"
"1201","제주특별자치도 제주시 한림읍 상대리 3746"
"1202","제주특별자치도 제주시 한림읍 상대리 4264-1"
"1203","제주특별자치도 제주시 한림읍 상대리 3736"
"1204","제주특별자치도 제주시 한림읍 상대리 3739"
"1205","제주특별자치도 제주시 한림읍 상대리 3740"
"1206","제주특별자치도 제주시 한림읍 상대리 339"
"1207","제주특별자치도 제주시 한림읍 상대리 3723-1"
"1208","제주특별자치도 제주시 한림읍 상대리 3723-2"
"1209","제주특별자치도 제주시 한림읍 상대리 1171-1"
"1210","제주특별자치도 제주시 한림읍 상대리 1362-1"
"1211","제주특별자치도 제주시 한림읍 상대리 4180"
"1212","제주특별자치도 제주시 한림읍 상대리 3349"
"1213","제주특별자치도 제주시 한림읍 상대리 2760"
"1214","제주특별자치도 제주시 한림읍 상대리 2755-1"
"1215","제주특별자치도 제주시 한림읍 상대리 2631-3"
"1216","제주특별자치도 제주시 한림읍 상대리 3802"
"1217","제주특별자치도 제주시 한림읍 상대리 4533"
"1218","제주특별자치도 제주시 한림읍 상대리 3451"
"1219","제주특별자치도 제주시 한림읍 상대리 1801"
"1220","제주특별자치도 제주시 한림읍 상대리 1801-1"
"1221","제주특별자치도 제주시 한림읍 상대리 2592-1"
"1222","제주특별자치도 제주시 한림읍 상대리 3539"
"1223","제주특별자치도 제주시 한림읍 상대리 4511"
"1224","제주특별자치도 제주시 한림읍 상대리 2985"
"1225","제주특별자치도 제주시 한림읍 상대리 2942-1"
"1226","제주특별자치도 제주시 한림읍 상대리 4542-1"
"1227","제주특별자치도 제주시 한림읍 상대리 4514-1"
"1228","제주특별자치도 제주시 한림읍 상대리 2273"
"1229","제주특별자치도 제주시 한림읍 상대리 4398"
"1230","제주특별자치도 제주시 한림읍 상대리 3652"
"1231","제주특별자치도 제주시 한림읍 상대리 3728"
"1232","제주특별자치도 제주시 한림읍 상대리 3648"
"1233","제주특별자치도 제주시 한림읍 상대리 4295"
"1234","제주특별자치도 제주시 한림읍 상대리 3167-2"
"1235","제주특별자치도 제주시 한림읍 상대리 1563"
"1236","제주특별자치도 제주시 한림읍 상대리 4075-2"
"1237","제주특별자치도 제주시 한림읍 상대리 3392"
"1238","제주특별자치도 제주시 한림읍 상대리 1012"
"1239","제주특별자치도 제주시 한림읍 상대리 2705"
"1240","제주특별자치도 제주시 한림읍 상대리 2706"
"1241","제주특별자치도 제주시 한림읍 상대리 4106"
"1242","제주특별자치도 제주시 한림읍 상대리 3399-1"
"1243","제주특별자치도 제주시 한림읍 상대리 3534"
"1244","제주특별자치도 제주시 한림읍 상대리 3698"
"1245","제주특별자치도 제주시 한림읍 상대리 1513"
"1246","제주특별자치도 제주시 한림읍 상대리 3743"
"1247","제주특별자치도 제주시 한림읍 상대리 1792"
"1248","제주특별자치도 제주시 한림읍 상대리 82-3"
"1249","제주특별자치도 제주시 한림읍 상대리 84-3"
"1250","제주특별자치도 제주시 한림읍 상대리 3710"
"1251","제주특별자치도 제주시 한림읍 상대리 1801-2"
"1252","제주특별자치도 제주시 한림읍 상대리 1807"
"1253","제주특별자치도 제주시 한림읍 상대리 1808-7"
"1254","제주특별자치도 제주시 한림읍 상대리 2595"
"1255","제주특별자치도 제주시 한림읍 상대리 3540-2"
"1256","제주특별자치도 제주시 한림읍 상대리 3541"
"1257","제주특별자치도 제주시 한림읍 상대리 3542"
"1258","제주특별자치도 제주시 한림읍 상대리 3543"
"1259","제주특별자치도 제주시 한림읍 상대리 3887"
"1260","제주특별자치도 제주시 한림읍 상대리 708-1"
"1261","제주특별자치도 제주시 한림읍 상대리 2218-2"
"1262","제주특별자치도 제주시 한림읍 상대리 1065"
"1263","제주특별자치도 제주시 한림읍 상대리 1064"
"1264","제주특별자치도 제주시 한림읍 상대리 3124-1"
"1265","제주특별자치도 제주시 한림읍 상대리 3016"
"1266","제주특별자치도 제주시 한림읍 상대리 1040"
"1267","제주특별자치도 제주시 한림읍 상대리 4288-2"
"1268","제주특별자치도 제주시 한림읍 상대리 3357-2"
"1269","제주특별자치도 제주시 한림읍 상대리 4353"
"1270","제주특별자치도 제주시 한림읍 상대리 3404-3"
"1271","제주특별자치도 제주시 한림읍 상대리 3402-1"
"1272","제주특별자치도 제주시 한림읍 상대리 2751"
"1273","제주특별자치도 제주시 한림읍 상대리 2658"
"1274","제주특별자치도 제주시 한림읍 상대리 1744"
"1275","제주특별자치도 제주시 한림읍 상대리 1354"
"1276","제주특별자치도 제주시 한림읍 상대리 1359-5"
"1277","제주특별자치도 제주시 한림읍 상대리 2629"
"1278","제주특별자치도 제주시 한림읍 상대리 1094"
"1279","제주특별자치도 제주시 한림읍 상대리 1095"
"1280","제주특별자치도 제주시 한림읍 상대리 2730"
"1281","제주특별자치도 제주시 한림읍 상대리 2726-2"
"1282","제주특별자치도 제주시 한림읍 상대리 3876"
"1283","제주특별자치도 제주시 한림읍 상대리 4500"
"1284","제주특별자치도 제주시 한림읍 상대리 3775"
"1285","제주특별자치도 제주시 한림읍 상대리 3777"
"1286","제주특별자치도 제주시 한림읍 상대리 3790"
"1287","제주특별자치도 제주시 한림읍 상대리 2887-1"
"1288","제주특별자치도 제주시 한림읍 상명리 90-1"
"1289","제주특별자치도 제주시 한림읍 상명리 91"
"1290","제주특별자치도 제주시 한림읍 상명리 329-1"
"1291","제주특별자치도 제주시 한림읍 상명리 344"
"1292","제주특별자치도 제주시 한림읍 상명리 374"
"1293","제주특별자치도 제주시 한림읍 상명리 971-4"
"1294","제주특별자치도 제주시 한림읍 상명리 979"
"1295","제주특별자치도 제주시 한림읍 상명리 1318-3"
"1296","제주특별자치도 제주시 한림읍 상명리 1365"
"1297","제주특별자치도 제주시 한림읍 상명리 2127-1"
"1298","제주특별자치도 제주시 한림읍 상명리 2145-2"
"1299","제주특별자치도 제주시 한림읍 상명리 1319-1"
"1300","제주특별자치도 제주시 한림읍 상명리 61"
"1301","제주특별자치도 제주시 한림읍 상명리 424"
"1302","제주특별자치도 제주시 한림읍 상명리 554"
"1303","제주특별자치도 제주시 한림읍 상명리 418"
"1304","제주특별자치도 제주시 한림읍 상명리 837"
"1305","제주특별자치도 제주시 한림읍 상명리 884-2"
"1306","제주특별자치도 제주시 한림읍 상명리 1232"
"1307","제주특별자치도 제주시 한림읍 상명리 1647-1"
"1308","제주특별자치도 제주시 한림읍 상명리 924"
"1309","제주특별자치도 제주시 한림읍 상명리 925"
"1310","제주특별자치도 제주시 한림읍 상명리 111"
"1311","제주특별자치도 제주시 한림읍 상명리 109"
"1312","제주특별자치도 제주시 한림읍 상명리 2141-1"
"1313","제주특별자치도 제주시 한림읍 상명리 1708"
"1314","제주특별자치도 제주시 한림읍 상명리 1745"
"1315","제주특별자치도 제주시 한림읍 상명리 440"
"1316","제주특별자치도 제주시 한림읍 상명리 16"
"1317","제주특별자치도 제주시 한림읍 상명리 417"
"1318","제주특별자치도 제주시 한림읍 상명리 430"
"1319","제주특별자치도 제주시 한림읍 상명리 2021"
"1320","제주특별자치도 제주시 한림읍 상명리 2022"
"1321","제주특별자치도 제주시 한림읍 상명리 2045"
"1322","제주특별자치도 제주시 한림읍 상명리 2046"
"1323","제주특별자치도 제주시 한림읍 상명리 2047"
"1324","제주특별자치도 제주시 한림읍 상명리 468-2"
"1325","제주특별자치도 제주시 한림읍 상명리 2011"
"1326","제주특별자치도 제주시 한림읍 상명리 65-1"
"1327","제주특별자치도 제주시 한림읍 상명리 1993"
"1328","제주특별자치도 제주시 한림읍 상명리 2010"
"1329","제주특별자치도 제주시 한림읍 상명리 267"
"1330","제주특별자치도 제주시 한림읍 상명리 1648-1"
"1331","제주특별자치도 제주시 한림읍 상명리 89-1"
"1332","제주특별자치도 제주시 한림읍 상명리 324"
"1333","제주특별자치도 제주시 한림읍 상명리 1314"
"1334","제주특별자치도 제주시 한림읍 상명리 1328"
"1335","제주특별자치도 제주시 한림읍 상명리 1739"
"1336","제주특별자치도 제주시 한림읍 상명리 1803"
"1337","제주특별자치도 제주시 한림읍 상명리 1805"
"1338","제주특별자치도 제주시 한림읍 상명리 2009"
"1339","제주특별자치도 제주시 한림읍 상명리 2236-1"
"1340","제주특별자치도 제주시 한림읍 상명리 1144-3"
"1341","제주특별자치도 제주시 한림읍 상명리 1144-4"
"1342","제주특별자치도 제주시 한림읍 상명리 1144-5"
"1343","제주특별자치도 제주시 한림읍 상명리 1150"
"1344","제주특별자치도 제주시 한림읍 상명리 1163"
"1345","제주특별자치도 제주시 한림읍 상명리 1271"
"1346","제주특별자치도 제주시 한림읍 상명리 1263-2"
"1347","제주특별자치도 제주시 한림읍 상명리 2048"
"1348","제주특별자치도 제주시 한림읍 상명리 1804"
"1349","제주특별자치도 제주시 한림읍 상명리 2241"
"1350","제주특별자치도 제주시 한림읍 상명리 2253"
"1351","제주특별자치도 제주시 한림읍 상명리 249"
"1352","제주특별자치도 제주시 한림읍 상명리 387-2"
"1353","제주특별자치도 제주시 한림읍 상명리 1183-1"
"1354","제주특별자치도 제주시 한림읍 상명리 1976"
"1355","제주특별자치도 제주시 한림읍 상명리 2220-1"
"1356","제주특별자치도 제주시 한림읍 상명리 1766-1"
"1357","제주특별자치도 제주시 한림읍 상명리 1743-1"
"1358","제주특별자치도 제주시 한림읍 상명리 1776-1"
"1359","제주특별자치도 제주시 한림읍 상명리 468-4"
"1360","제주특별자치도 제주시 한림읍 상명리 795"
"1361","제주특별자치도 제주시 한림읍 협재리 10"
"1362","제주특별자치도 제주시 한림읍 협재리 576-1"
"1363","제주특별자치도 제주시 한림읍 협재리 798-1"
"1364","제주특별자치도 제주시 한림읍 협재리 875-1"
"1365","제주특별자치도 제주시 한림읍 협재리 946-1"
"1366","제주특별자치도 제주시 한림읍 협재리 965-1"
"1367","제주특별자치도 제주시 한림읍 협재리 967"
"1368","제주특별자치도 제주시 한림읍 협재리 2241-9"
"1369","제주특별자치도 제주시 한림읍 협재리 464"
"1370","제주특별자치도 제주시 한림읍 협재리 1025"
"1371","제주특별자치도 제주시 한림읍 협재리 975-1"
"1372","제주특별자치도 제주시 한림읍 협재리 1029"
"1373","제주특별자치도 제주시 한림읍 협재리 1275-1"
"1374","제주특별자치도 제주시 한림읍 협재리 2171-1"
"1375","제주특별자치도 제주시 한림읍 협재리 2171-3"
"1376","제주특별자치도 제주시 한림읍 협재리 198-2"
"1377","제주특별자치도 제주시 한림읍 협재리 2169-2"
"1378","제주특별자치도 제주시 한림읍 협재리 872-1"
"1379","제주특별자치도 제주시 한림읍 협재리 77-1"
"1380","제주특별자치도 제주시 한림읍 협재리 2641"
"1381","제주특별자치도 제주시 한림읍 협재리 45"
"1382","제주특별자치도 제주시 한림읍 협재리 1026-1"
"1383","제주특별자치도 제주시 한림읍 협재리 446"
"1384","제주특별자치도 제주시 한림읍 협재리 844"
"1385","제주특별자치도 제주시 한림읍 협재리 2171-4"
"1386","제주특별자치도 제주시 한림읍 협재리 2895"
"1387","제주특별자치도 제주시 한림읍 협재리 2961"
"1388","제주특별자치도 제주시 한림읍 협재리 94"
"1389","제주특별자치도 제주시 한림읍 협재리 460"
"1390","제주특별자치도 제주시 한림읍 협재리 455"
"1391","제주특별자치도 제주시 한림읍 협재리 456-2"
"1392","제주특별자치도 제주시 한림읍 월령리 805-1"
"1393","제주특별자치도 제주시 한림읍 월령리 845-1"
"1394","제주특별자치도 제주시 한림읍 월령리 921"
"1395","제주특별자치도 제주시 한림읍 월령리 959"
"1396","제주특별자치도 제주시 한림읍 월령리 970"
"1397","제주특별자치도 제주시 한림읍 월령리 1072"
"1398","제주특별자치도 제주시 한림읍 월령리 1131"
"1399","제주특별자치도 제주시 한림읍 월령리 1144"
"1400","제주특별자치도 제주시 한림읍 월령리 1148-3"
"1401","제주특별자치도 제주시 한림읍 월령리 799-1"
"1402","제주특별자치도 제주시 한림읍 월령리 1210"
"1403","제주특별자치도 제주시 한림읍 월령리 262-1"
"1404","제주특별자치도 제주시 한림읍 월령리 1186-1"
"1405","제주특별자치도 제주시 한림읍 월령리 496"
"1406","제주특별자치도 제주시 한림읍 월령리 214"
"1407","제주특별자치도 제주시 한림읍 월령리 553-1"
"1408","제주특별자치도 제주시 한림읍 월령리 564"
"1409","제주특별자치도 제주시 한림읍 월령리 565-1"
"1410","제주특별자치도 제주시 한림읍 월령리 789-1"
"1411","제주특별자치도 제주시 한림읍 월령리 789-2"
"1412","제주특별자치도 제주시 한림읍 월령리 1056"
"1413","제주특별자치도 제주시 한림읍 금능리 301-1"
"1414","제주특별자치도 제주시 한림읍 금능리 304"
